"","Sample_ID","collect_date","Escap_yr","sex","Exog_dist","Spot_no","Distance_um","Sr8786_norm","SE2","SrV","respot","Spot_size_um","Readage","fork_length"
"90","WR07-07",NA,2007,"Unknown",150,8,432.813,0.705544,0.00024,0.51,"n",60,NA,NA
"91","WR07-07",NA,2007,"Unknown",150,9,499.764,0.70724,0.00034,0.61,"n",60,NA,NA
"92","WR07-07",NA,2007,"Unknown",150,11,607.629,0.708915,0.00046,0.52,"n",60,NA,NA
"93","WR07-07",NA,2007,"Unknown",150,15,647.629,0.708539335,0.000203134,2.085833648,"n",40,NA,NA
"94","WR07-07",NA,2007,"Unknown",150,16,687.629,0.708846252,0.000199606,2.000249022,"n",40,NA,NA
"95","WR07-08",NA,2007,"Unknown",230,2,60,0.707027,0.00044,0.53,"n",60,NA,NA
"96","WR07-08",NA,2007,"Unknown",230,3,120,0.705675,0.00062,0.675,"n",60,NA,NA
"97","WR07-08",NA,2007,"Unknown",230,9,120,0.705675,0.00022,0.82,"n",60,NA,NA
"98","WR07-08",NA,2007,"Unknown",230,4,180,0.705697,4e-04,0.84,"n",60,NA,NA
"99","WR07-08",NA,2007,"Unknown",230,10,180,0.705697,0.00026,0.86,"n",60,NA,NA
"100","WR07-08",NA,2007,"Unknown",230,5,240,0.705154,0.00026,0.895,"n",60,NA,NA
"101","WR07-08",NA,2007,"Unknown",230,11,240,0.705154,0.000144,0.93,"n",60,NA,NA
"102","WR07-08",NA,2007,"Unknown",230,6,300,0.704478,0.00028,0.86,"n",60,NA,NA
"103","WR07-08",NA,2007,"Unknown",230,12,300,0.704478,0.00028,0.79,"n",60,NA,NA
"104","WR07-08",NA,2007,"Unknown",230,7,360,0.704822,0.00052,0.78,"n",60,NA,NA
"105","WR07-08",NA,2007,"Unknown",230,13,360,0.704822,0.00028,0.77,"n",60,NA,NA
"106","WR07-08",NA,2007,"Unknown",230,21,390,0.704027,0.00022,1.09,"n",60,NA,NA
"107","WR07-08",NA,2007,"Unknown",230,8,420,0.7045865,0.00036,0.945,"n",60,NA,NA
"108","WR07-08",NA,2007,"Unknown",230,14,420,0.7045865,0.00026,0.8,"n",60,NA,NA
"109","WR07-08",NA,2007,"Unknown",230,15,480,0.703969,2e-04,0.93,"n",60,NA,NA
"110","WR07-08",NA,2007,"Unknown",230,22,510,0.705779,0.000192,1.44,"n",60,NA,NA
"111","WR07-08",NA,2007,"Unknown",230,16,540,0.704791,0.00022,1,"n",60,NA,NA
"112","WR07-08",NA,2007,"Unknown",230,17,600,0.707037,0.000192,1.37,"n",60,NA,NA
"113","WR07-08",NA,2007,"Unknown",230,18,660,0.708246,0.000178,2.07,"n",60,NA,NA
"114","WR07-08",NA,2007,"Unknown",230,19,720,0.708813,0.00014,2.02,"n",60,NA,NA
"115","WR07-08",NA,2007,"Unknown",230,20,780,0.709074,0.00022,2.04,"n",60,NA,NA
"116","WR07-09",NA,2007,"Unknown",230,2,60,0.705982,0.00048,0.67,"n",60,NA,NA
"117","WR07-09",NA,2007,"Unknown",230,3,120,0.706908,0.00028,0.67,"n",60,NA,NA
"118","WR07-09",NA,2007,"Unknown",230,4,180,0.705933,0.00028,0.77,"n",60,NA,NA
"119","WR07-09",NA,2007,"Unknown",230,5,240,0.705243,0.00032,0.75,"n",60,NA,NA
"120","WR07-09",NA,2007,"Unknown",230,6,300,0.704784,0.00032,0.7,"n",60,NA,NA
"121","WR07-09",NA,2007,"Unknown",230,7,360,0.704734,0.00034,0.65,"n",60,NA,NA
"122","WR07-09",NA,2007,"Unknown",230,8,420,0.705145,0.00026,0.64,"n",60,NA,NA
"123","WR07-09",NA,2007,"Unknown",230,19,450,0.705131,0.00026,0.66,"n",60,NA,NA
"124","WR07-09",NA,2007,"Unknown",230,9,480,0.705757,0.000192,0.74,"n",60,NA,NA
"125","WR07-09",NA,2007,"Unknown",230,20,510,0.705094,6.4e-05,0.77,"n",60,NA,NA
"126","WR07-09",NA,2007,"Unknown",230,10,540,0.705275,0.00036,0.7,"n",60,NA,NA
"127","WR07-09",NA,2007,"Unknown",230,11,600,0.70532,0.00022,0.82,"n",60,NA,NA
"128","WR07-09",NA,2007,"Unknown",230,12,660,0.705758,0.00024,0.83,"n",60,NA,NA
"129","WR07-09",NA,2007,"Unknown",230,21,690,0.7075,0.000104,1.35,"n",60,NA,NA
"130","WR07-09",NA,2007,"Unknown",230,13,720,0.708614,0.000126,1.44,"n",60,NA,NA
"131","WR07-09",NA,2007,"Unknown",230,14,780,0.708859,0.00011,1.65,"n",60,NA,NA
"132","WR07-09",NA,2007,"Unknown",230,15,840,0.708958,0.000174,1.79,"n",60,NA,NA
"133","WR07-09",NA,2007,"Unknown",230,16,900,0.70886,0.00024,1.77,"n",60,NA,NA
"134","WR07-09",NA,2007,"Unknown",230,17,960,0.708942,0.00017,1.62,"n",60,NA,NA
"135","WR07-09",NA,2007,"Unknown",230,18,1020,0.709002,0.00026,1.85,"n",60,NA,NA
"136","WR07-10",NA,2007,"Unknown",230,1,64.584,0.707672,0.00026,1.24,"n",80,NA,NA
"137","WR07-10",NA,2007,"Unknown",230,2,119.024,0.707795,0.00044,1.25,"n",80,NA,NA
"138","WR07-10",NA,2007,"Unknown",230,3,175.83,0.705982,2.6e-05,1.31,"n",80,NA,NA
"139","WR07-10",NA,2007,"Unknown",230,4,233.651,0.705265,0.00038,1.34,"n",80,NA,NA
"140","WR07-10",NA,2007,"Unknown",230,5,288.767,0.705473,0.000174,1.25,"n",80,NA,NA
"141","WR07-10",NA,2007,"Unknown",230,15,353.013,0.704946,0.000192,1.39,"n",80,NA,NA
"142","WR07-10",NA,2007,"Unknown",230,7,411.172,0.70524,0.00038,1.01,"n",80,NA,NA
"143","WR07-10",NA,2007,"Unknown",230,8,482.857,0.705748,0.000108,1.09,"n",80,NA,NA
"144","WR07-10",NA,2007,"Unknown",230,9,559.614,0.70564,0.00024,1.22,"n",80,NA,NA
"145","WR07-10",NA,2007,"Unknown",230,10,617.097,0.705855,9.8e-05,1.44,"n",80,NA,NA
"146","WR07-10",NA,2007,"Unknown",230,11,680.328,0.707615,0.00028,1.61,"n",80,NA,NA
"147","WR07-10",NA,2007,"Unknown",230,12,733.415,0.708689,0.00036,2.33,"n",80,NA,NA
"148","WR07-10",NA,2007,"Unknown",230,13,788.193,0.709004,0.00034,2.47,"n",80,NA,NA
"149","WR07-10",NA,2007,"Unknown",230,14,841.28,0.709097,0.000142,2.29,"n",80,NA,NA
"150","WR07-11",NA,2007,"Unknown",230,1,10.482,0.707319,0.00022,1.03,"n",80,NA,NA
"151","WR07-11",NA,2007,"Unknown",230,2,72.361,0.707297,0.00028,0.98,"n",80,NA,NA
"152","WR07-11",NA,2007,"Unknown",230,3,130.858,0.706757,0.00026,0.95,"n",80,NA,NA
"153","WR07-11",NA,2007,"Unknown",230,4,194.766,0.70574,0.00022,0.83,"n",80,NA,NA
"154","WR07-11",NA,2007,"Unknown",230,16,222.45,0.705425,0.000168,1.02,"n",80,NA,NA
"155","WR07-11",NA,2007,"Unknown",230,5,255.63,0.705032,0.00022,1.01,"n",80,NA,NA
"156","WR07-11",NA,2007,"Unknown",230,6,315.818,0.705046,0.000184,0.9,"n",80,NA,NA
"157","WR07-11",NA,2007,"Unknown",230,7,377.359,0.705171,0.000196,1.2,"n",80,NA,NA
"158","WR07-11",NA,2007,"Unknown",230,17,390.959,0.705087,0.00019,1.12,"n",80,NA,NA
"159","WR07-11",NA,2007,"Unknown",230,8,427.741,0.704594,0.000182,1,"n",80,NA,NA
"160","WR07-11",NA,2007,"Unknown",230,9,486.238,0.704713,0.000184,1.14,"n",80,NA,NA
"161","WR07-11",NA,2007,"Unknown",230,10,539.326,0.70485,0.000198,1.08,"n",80,NA,NA
"162","WR07-11",NA,2007,"Unknown",230,18,556.016,0.705798,0.00024,1.19,"n",80,NA,NA
"163","WR07-11",NA,2007,"Unknown",230,11,597.823,0.706965,0.00022,1.69,"n",80,NA,NA
"164","WR07-11",NA,2007,"Unknown",230,12,661.054,0.708699,0.000162,1.88,"n",80,NA,NA
"165","WR07-11",NA,2007,"Unknown",230,13,722.257,0.708967,9.2e-05,1.97,"n",80,NA,NA
"166","WR07-11",NA,2007,"Unknown",230,14,789.207,0.708916,1e-04,2.26,"n",80,NA,NA
"167","WR07-11",NA,2007,"Unknown",230,15,849.395,0.709113,0.000118,2.33,"n",80,NA,NA
"168","WR07-12",NA,2007,"Unknown",350,1,45.986,0.707708,3e-04,0.86,"n",60,NA,NA
"169","WR07-12",NA,2007,"Unknown",350,2,113.952,0.707116,0.00038,0.71,"n",60,NA,NA
"170","WR07-12",NA,2007,"Unknown",350,3,170.758,0.706734,0.000122,0.9,"n",60,NA,NA
"171","WR07-12",NA,2007,"Unknown",350,4,220.464,0.705478,2e-04,1.17,"n",60,NA,NA
"172","WR07-12",NA,2007,"Unknown",350,5,273.889,0.705721,4.8e-05,0.99,"n",60,NA,NA
"173","WR07-12",NA,2007,"Unknown",350,6,331.711,0.705661,0.00028,0.79,"n",60,NA,NA
"174","WR07-12",NA,2007,"Unknown",350,15,365.911,0.704972,2e-04,0.85,"n",60,NA,NA
"175","WR07-12",NA,2007,"Unknown",350,7,385.136,0.70488,0.00034,0.85,"n",60,NA,NA
"176","WR07-12",NA,2007,"Unknown",350,16,422.509,0.705427,0.000178,0.96,"n",60,NA,NA
"177","WR07-12",NA,2007,"Unknown",350,8,439.238,0.705382,0.000168,0.85,"n",60,NA,NA
"178","WR07-12",NA,2007,"Unknown",350,17,475.661,0.704699,0.00036,0.76,"n",60,NA,NA
"179","WR07-12",NA,2007,"Unknown",350,9,496.382,0.704495,0.00028,0.77,"n",60,NA,NA
"180","WR07-12",NA,2007,"Unknown",350,18,537.783,0.704518,0.00032,0.83,"n",60,NA,NA
"181","WR07-12",NA,2007,"Unknown",350,10,543.306,0.706106,0.000102,0.83,"n",60,NA,NA
"182","WR07-12",NA,2007,"Unknown",350,21,555.556,0.704214,0.00032,0.6,"n",60,NA,NA
"183","WR07-12",NA,2007,"Unknown",350,20,601.286,0.704877,0.00034,0.64,"n",60,NA,NA
"184","WR07-12",NA,2007,"Unknown",350,11,629.27,0.705702,0.00036,0.78,"n",60,NA,NA
"185","WR07-12",NA,2007,"Unknown",350,19,662.718,0.707083,0.00042,1.16,"n",60,NA,NA
"186","WR07-12",NA,2007,"Unknown",350,12,691.148,0.708597,0.00034,1.83,"n",60,NA,NA
"187","WR07-12",NA,2007,"Unknown",350,13,755.732,0.708954,0.00022,1.91,"n",60,NA,NA
"188","WR07-12",NA,2007,"Unknown",350,14,826.064,0.709119,0.00032,1.97,"n",60,NA,NA
"189","WR07-13",NA,2007,"Unknown",230,1,102.793,0.707116,3e-04,1.03,"n",60,NA,NA
"190","WR07-13",NA,2007,"Unknown",230,2,151.146,0.706125,0.00034,0.89,"n",60,NA,NA
"191","WR07-13",NA,2007,"Unknown",230,3,217.421,0.706135,0.00038,0.78,"n",60,NA,NA
"192","WR07-13",NA,2007,"Unknown",230,4,262.731,0.704689,0.000132,0.79,"n",60,NA,NA
"193","WR07-13",NA,2007,"Unknown",230,5,306.689,0.705094,0.00034,0.86,"n",60,NA,NA
"194","WR07-13",NA,2007,"Unknown",230,6,362.481,0.705162,0.00024,0.75,"n",60,NA,NA
"195","WR07-13",NA,2007,"Unknown",230,7,420.302,0.705199,0.00026,0.93,"n",60,NA,NA
"196","WR07-13",NA,2007,"Unknown",230,8,473.727,0.705624,0.00032,0.7,"n",60,NA,NA
"197","WR07-13",NA,2007,"Unknown",230,9,543.383,0.705624,0.00028,0.87,"n",60,NA,NA
"198","WR07-13",NA,2007,"Unknown",230,10,601.204,0.705773,0.00048,0.73,"n",60,NA,NA
"199","WR07-13",NA,2007,"Unknown",230,11,644.486,0.705256,0.00032,1.32,"n",60,NA,NA
"200","WR07-13",NA,2007,"Unknown",230,15,681.3425,0.707153,5e-04,1.91,"n",60,NA,NA
"201","WR07-13",NA,2007,"Unknown",230,12,718.199,0.708417,0.000144,2.22,"n",60,NA,NA
"202","WR07-13",NA,2007,"Unknown",230,13,789.207,0.708742,0.000192,2.02,"n",60,NA,NA
"203","WR07-13",NA,2007,"Unknown",230,14,850.748,0.70914,0.00022,2.1,"n",60,NA,NA
"204","WR07-14",NA,2007,"Unknown",230,1,52.749,0.707375,0.00015,0.98,"n",60,NA,NA
"205","WR07-14",NA,2007,"Unknown",230,2,117.333,0.706739,0.00026,1.1,"n",60,NA,NA
"206","WR07-14",NA,2007,"Unknown",230,3,171.096,0.706249,0.000184,0.92,"n",60,NA,NA
"207","WR07-14",NA,2007,"Unknown",230,4,235.342,0.705136,0.000172,1.01,"n",60,NA,NA
"208","WR07-14",NA,2007,"Unknown",230,5,289.782,0.705116,0.00018,0.99,"n",60,NA,NA
"209","WR07-14",NA,2007,"Unknown",230,6,342.869,0.705793,0.000154,0.89,"n",60,NA,NA
"210","WR07-14",NA,2007,"Unknown",230,15,352.471,0.705028,0.000176,1.02,"n",60,NA,NA
"211","WR07-14",NA,2007,"Unknown",230,7,396.971,0.704517,0.00022,0.84,"n",60,NA,NA
"212","WR07-14",NA,2007,"Unknown",230,8,462.231,0.704868,0.00024,0.91,"n",60,NA,NA
"213","WR07-14",NA,2007,"Unknown",230,9,525.8,0.70455,0.00022,1,"n",60,NA,NA
"214","WR07-14",NA,2007,"Unknown",230,10,583.959,0.704331,0.00018,0.96,"n",60,NA,NA
"215","WR07-14",NA,2007,"Unknown",230,16,635.871,0.707372,0.00044,1.71,"n",60,NA,NA
