"","Escap_yr","Sample_ID","Brood_year","DEL","LAS","SAC","AME","Unassigned"
"71",2008,"WR08-44",2005,0,0,1,0,0
"72",2008,"WR08-45",2005,0,0,1,0,0
"73",2008,"WR08-46",2005,0.352600306701771,0.0823682877013457,0.565031405596884,0,0
"74",2008,"WR08-47",2005,0,0,0.0758434639150933,0.924156536084907,0
"75",2008,"WR08-48",2005,0,0,1,0,0
"76",2008,"WR08-49",2005,0,0,0.735948299268005,0.264051700731995,0
"77",2008,"WR08-50",2005,0,0,1,0,0
"78",2008,"WR08-51",2005,0.577298019642521,0,0.422701980357479,0,0
"79",2008,"WR08-52",2005,0,0,0.100650181729571,0.899349818270429,0
"80",2008,"WR08-53",2005,0.329993880377852,0,0.670006119622148,0,0
"81",2008,"WR08-54",2005,0.778866997531655,0,0.221133002468345,0,0
"82",2008,"WR08-55",2005,0.206409807381234,0,0.793590192618766,0,0
