"Sample_ID","Brood_year","fork_length","las_dist","ame_dist","x_dist","del_dist","rearing_type"
"WR15-5064",2012,730,0,0,0,229.932,"DEL"
"WR15-5064B",2012,NA,0,0,0,0,"SAC"
"WR15-5065",2012,676,0,0,0,0,"SAC"
"WR15-5069",2012,857,0,0,0,0,"SAC"
"WR15-5071",2012,869,0,169.744,0,0,"AME"
"WR15-5075",2012,872,0,0,0,0,"SAC"
"WR15-5079",2012,725,0,0,0,0,"SAC"
"WR15-5085",2012,720,0,0,0,0,"SAC"
"WR15-5089",2012,792,0,0,0,0,"SAC"
"WR15-5098",2012,700,0,0,0,0,"SAC"
"WR15-5105",2012,697,0,0,0,0,"SAC"
"WR15-5108",2012,761,0,0,0,0,"SAC"
"WR15-5111",2012,870,0,0,0,167.473,"DEL"
"WR15-5115",2012,730,0,0,0,0,"SAC"
"WR15-5124",2012,725,0,0,0,0,"SAC"
"WR15-5127",2012,670,0,0,0,0,"SAC"
"WR15-5130",2012,925,0,0,0,227.565,"DEL"
"WR15-5134",2012,775,0,0,0,0,"SAC"
"WR15-5137",2012,718,0,176.752,0,0,"AME"
"WR15-5141",2011,870,0,0,0,0,"SAC"
"WR15-5142",2012,787,0,0,0,0,"SAC"
"WR15-5151",2012,820,0,0,0,0,"SAC"
"WR15-5154",2012,730,0,0,0,190.37,"DEL"
"WR15-5157",2012,669,0,0,0,0,"SAC"
"WR15-5157B",2012,NA,0,0,0,0,"SAC"
"WR15-5163",2012,762,0,0,0,0,"SAC"
"WR15-5167",2012,718,0,0,0,0,"SAC"
"WR15-5171",2012,890,0,0,0,0,"SAC"
"WR15-5178",2012,750,0,173.125,0,123.758,"AME"
"WR15-5182",2012,710,0,0,0,0,"SAC"
"WR15-5193",2012,735,160.953,0,0,0,"LAS"
"WR15-5196",2012,651,0,347.603,0,0,"AME"
"WR15-5199",2012,728,0,0,0,213.701,"DEL"
"WR15-5207",2012,731,0,0,0,0,"SAC"
"WR15-5211",2012,700,0,0,0,0,"SAC"
"WR15-5213",2012,925,0,0,0,0,"SAC"
"WR15-5216",2012,733,0,0,0,0,"SAC"
"WR15-5220",2012,699,0,0,0,0,"SAC"
"WR15-5223",2013,537,0,0,0,0,"SAC"
"WR15-5226",2012,710,0,0,0,0,"SAC"
"WR15-5233",2011,1055,0,0,0,0,"SAC"
"WR15-5242",2012,707,0,0,0,0,"SAC"
"WR15-5254",2012,731,0,0,0,0,"SAC"
"WR15-5261",2012,683,0,305.336,0,0,"AME"
"WR15-5265",2012,690,0,0,0,0,"SAC"
"WR15-5268",2012,823,0,0,0,0,"SAC"
"WR15-5271",2012,827,0,0,0,0,"SAC"
"WR15-5271B",2012,NA,0,0,0,203.219,"DEL"
"WR15-5273",2012,867,0,260.96,0,0,"AME"
"WR15-5283",2012,712,0,0,0,0,"SAC"
"WR15-5288",2012,703,0,0,0,0,"SAC"
"WR15-5292",2012,696,0,0,0,167.823,"DEL"
"WR15-5296",2012,710,265.774,0,0,0,"LAS"
"WR15-5299",2012,740,0,0,0,0,"SAC"
"WR15-5302",2012,750,0,0,0,0,"SAC"
"WR15-5303",2012,781,0,0,0,0,"SAC"
"WR15-5309",2012,698,75.743,0,0,0,"LAS"
"WR15-5312",2012,764,0,0,0,0,"SAC"
"WR15-5317",2012,749,0,0,0,162.643,"DEL"
"WR15-5321",2012,696,0,0,0,0,"SAC"
"WR15-5325",2012,720,0,0,0,0,"SAC"
"WR15-5329",2012,728,0,0,0,0,"SAC"
"WR15-5338",2012,765,0,0,41.252,0,"X"
"WR15-5346",2012,740,0,0,0,0,"SAC"
"WR15-5350",2012,750,0,0,0,0,"SAC"
"WR15-5353",2012,806,0,0,0,0,"SAC"
"WR15-5356",2012,738,0,0,0,0,"SAC"
"WR15-5359",2012,708,0,0,0,0,"SAC"
"WR15-5362",2012,711,0,0,0,0,"SAC"
"WR15-5366",2012,734,0,0,0,189.893,"DEL"
"WR15-5369",2012,635,0,0,0,161.967,"DEL"
"WR15-5374",2012,600,0,242.105,0,0,"AME"
"WR15-5376",2012,721,182.122,0,0,0,"LAS"
"WR15-5379",2012,753,0,0,0,0,"SAC"
"WR15-5383",2012,837,0,0,0,0,"SAC"
"WR15-5389",2012,708,0,0,0,0,"SAC"
"WR15-5395",2012,705,0,0,0,172.205,"DEL"
"WR15-5400",2012,695,0,0,0,0,"SAC"
"WR15-5408",2013,618,0,0,0,190.384,"DEL"
"WR15-5412",2012,705,0,0,0,0,"SAC"
"WR15-5417",2012,713,0,0,0,0,"SAC"
"WR15-7003",2012,749,0,0,0,0,"SAC"
"WR15-7004",2012,764,0,0,0,190.032,"DEL"
"WR15-7005",2012,890,0,0,0,0,"SAC"
"WR15-7007",2012,834,0,0,0,0,"SAC"
"WR15-7013",2012,745,0,0,0,0,"SAC"
"WR15-7015",2012,868,0,0,0,0,"SAC"
"WR15-7016",2012,695,0,0,0,0,"SAC"
"WR15-7019",2012,690,0,0,0,0,"SAC"
"WR15-7021",2011,850,0,0,0,0,"SAC"
"WR15-7022",2012,898,0,0,0,0,"SAC"
"WR15-7025",2012,846,0,0,0,0,"SAC"
"WR15-7027",2012,866,0,180.482,0,0,"AME"
"WR15-7028",2012,732,0,0,0,0,"SAC"
"WR15-7031",2012,724,0,0,0,121.391,"DEL"
"WR15-7031B",2012,NA,0,0,0,0,"SAC"
"WR15-7032",2012,721,0,0,0,0,"SAC"
"WR15-7037",2013,590,0,0,0,0,"SAC"
"WR15-7044",2012,710,0,0,0,0,"SAC"
"WR15-7047",2012,830,0,0,0,0,"SAC"
"WR15-7051",2012,840,0,0,0,0,"SAC"
"WR15-7053",2012,810,0,0,0,0,"SAC"
"WR15-7054",2012,760,0,0,0,0,"SAC"
"WR15-7059",2012,841,0,0,0,198.147,"DEL"
"WR15-7064",2012,898,0,0,0,0,"SAC"
"WR15-7069",2012,902,0,0,0,184.622,"DEL"
"WR15-7071",2012,750,0,0,0,0,"SAC"
"WR15-7074",2012,745,0,0,0,0,"SAC"
"WR15-7081",2012,782,0,0,0,0,"SAC"
"WR15-7086",2012,740,0,0,0,0,"SAC"
"WR15-7091",2012,760,0,0,0,0,"SAC"
"WR15-7099",2012,735,0,0,0,0,"SAC"
"WR15-7102",2012,730,0,0,44.296,0,"X"
"WR15-7107",2012,702,0,0,0,0,"SAC"
"WR15-7110",2012,668,0,0,0,0,"SAC"
"WR15-7113",2012,684,0,0,0,0,"SAC"
"WR15-7116",2012,730,0,0,0,0,"SAC"
"WR15-7120",2012,800,0,0,0,0,"SAC"
"WR15-7125",2012,735,257.461,0,0,0,"LAS"
"WR15-7129",2012,722,0,0,0,0,"SAC"
"WR15-7142",2012,690,0,0,0,0,"SAC"
"WR15-7146",2012,750,0,0,0,0,"SAC"
"WR15-7150",2012,765,0,0,0,245.824,"DEL"
"WR15-7155",2012,759,0,0,0,233.989,"DEL"
"WR15-7160",2012,759,0,0,0,0,"SAC"
"WR15-7166",2012,800,0,0,0,177.068,"DEL"
"WR15-7172",2012,719,0,0,0,0,"SAC"
"WR15-7179",2012,900,0,0,0,0,"SAC"
"WR15-7187",2012,936,0,0,0,0,"SAC"
"WR15-7189",2012,677,0,0,0,0,"SAC"
"WR15-7193",2012,682,0,0,0,0,"SAC"
"WR15-7198",2012,761,0,0,0,0,"SAC"
"WR15-7202",2011,980,0,0,0,0,"SAC"
"WR15-7206",2012,743,0,0,0,177.735,"DEL"
"WR15-7207",2012,690,0,0,0,0,"SAC"
"WR15-7212",2012,770,0,0,0,0,"SAC"
"WR15-7216",2012,690,0,0,0,0,"SAC"
"WR15-7239",2012,681,0,0,0,0,"SAC"
"WR15-7244",2012,735,0,0,0,0,"SAC"
"WR15-7250",2012,770,0,163.995,0,0,"AME"
"WR15-7254",2012,768,123.758,0,0,0,"LAS"
"WR15-7257",2012,679,0,0,0,0,"SAC"
"WR15-7260",2012,720,0,0,0,121.729,"DEL"
"WR15-7262",2012,760,0,0,0,0,"SAC"
"WR15-7270",2011,745,0,0,0,159.249,"DEL"
"WR15-7273",2012,815,0,0,0,0,"SAC"
