"","Sample_ID","FWDist_8786","FWDist_SrV","FWExit_dist"
"149","WR09-34",584.6376,594.481656695905,584.6376
"150","WR09-35",529.6971,610.986488918832,529.6971
"151","WR09-36",547.3448,522.295679496716,547.3448
"152","WR09-37",515.0664,537.800374882508,515.0664
"153","WR09-38",665.2867,634.375897278225,665.2867
"154","WR09-39",601.0664,615.967027517371,601.0664
"155","WR09-40",591.125,622.308049196451,591.125
"156","WR09-41",608.8248,608.174316879911,608.8248
"157","WR09-42",596.7371,600.352964645781,596.7371
"158","WR09-43",608.533,637.079941508547,608.533
"159","WR09-44",623.6162,635.387408523394,623.6162
"160","WR09-45",381.767,609.129840345807,609.129840345807
"161","WR09-46",570.4153,547.475426688276,570.4153
"162","WR09-47",533.2212,524.733526003178,533.2212
"163","WR09-48",564.1776,562.690520936372,564.1776
"164","WR09-49",613.7394,602.012385707177,613.7394
"165","WR09-51",596.8153,629.090823905088,596.8153
"166","WR09-52",571.7507,561.002436991649,571.7507
"167","WR09-54",643.5289,664.696618080825,643.5289
"168","WR09-56",328.6818,630.191268161224,630.191268161224
"169","WR09-57",598.2362,632.892421853832,598.2362
"170","WR09-58",587.3585,608.568037182802,587.3585
"171","WR09-59",628.2045,591.47833605563,628.2045
"172","WR09-60",552.9123,554.692040993084,552.9123
"173","WR09-63",383.8037,640.680444650185,640.680444650185
"174","WR09-64",419.6575,644.415899497712,644.415899497712
"175","WR09-65",620.825,611.419059699017,620.825
"176","WR09-67",570.982,593.020032953506,593.020032953506
"177","WR09-68",440.1227,631.689512898486,631.689512898486
"178","WR09-69",629.3573,661.852048544647,629.3573
"179","WR09-70",491.7868,608.16788285361,608.16788285361
"180","WR09-71",676.7863,674.795908681024,676.7863
"181","WR09-72",714.1556,688.434051852521,714.1556
"182","WR15-5003",691.2902,709.28802447473,691.2902
"183","WR15-5004",604.733,573.250430995646,604.733
"184","WR15-5006",754.9242,722.214732419409,754.9242
"185","WR15-5007",649.0594,662.727600984907,649.0594
"186","WR15-5008",615.8144,629.793884523744,615.8144
"187","WR15-5015",465.6898,653.277348662094,653.277348662094
"188","WR15-5016",652.1146,687.968911530147,652.1146
"189","WR15-5019",620.5627,604.509407754368,620.5627
"190","WR15-5021",590.0588,748.374471277221,748.374471277221
"191","WR15-5023",602.5863,579.36119078432,602.5863
"192","WR15-5025",585.2457,563.005830238713,585.2457
"193","WR15-5027",714.454,713.187287264491,714.454
"194","WR15-5028",645.4435,621.991795954314,645.4435
"195","WR15-5029",736.0665,NA,736.0665
"196","WR15-5030",642.6075,629.453406677954,629.453406677954
"197","WR15-5038",681.6342,664.968878687936,681.6342
"198","WR15-5040",647.8814,664.697846941534,647.8814
"199","WR15-5046",500.3246,622.514693152972,500.3246
"200","WR15-5048",613.7186,595.819326067668,613.7186
"201","WR15-5054",600.326,592.252345206349,600.326
"202","WR15-5060",709.7153,692.396375724547,709.7153
"203","WR15-5064",618.9863,598.139527626994,618.9863
"204","WR15-5064B",557.8873,547.517649460181,557.8873
"205","WR15-5065",684.1223,673.275129110654,684.1223
"206","WR15-5069",627.6273,592.394202629557,627.6273
"207","WR15-5071",642.2532,691.086859030056,642.2532
"208","WR15-5079",680.6758,463.490023991552,680.6758
"209","WR15-5085",537.9067,513.922255595738,537.9067
"210","WR15-5089",791.6445,810.220411719356,791.6445
"211","WR15-5098",678.1194,668.629442175955,678.1194
"212","WR15-5105",617.4443,593.60474869191,617.4443
"213","WR15-5108",663.3791,654.072971995174,663.3791
"214","WR15-5111",543.4067,574.050832262211,543.4067
"215","WR15-5115",593.7715,560.470382192361,593.7715
"216","WR15-5124",651.4001,631.760426867649,651.4001
"217","WR15-5127",610.8451,599.678898332034,610.8451
"218","WR15-5130",545.699,520.919648730414,545.699
"219","WR15-5134",652.0762,641.203909311891,652.0762
"220","WR15-5137",557.2615,579.193189635859,579.193189635859
"221","WR15-5141",536.9195,510.982836301687,536.9195
"222","WR15-5142",569.0727,561.372806353767,569.0727
"223","WR15-5151",594.1544,557.247348532441,594.1544
"224","WR15-5154",613.6916,617.048157944597,613.6916
"225","WR15-5157",578.1104,579.294429914347,578.1104
"226","WR15-5157B",654.2387,680.542962089073,654.2387
"227","WR15-5163",587.6036,618.562283116187,587.6036
"228","WR15-5167",615.5734,588.375325863344,615.5734
"229","WR15-5171",615.9774,610.948729478476,615.9774
"230","WR15-5178",646.9101,641.606155621302,641.606155621302
"231","WR15-5182",591.8618,568.933085114249,591.8618
"232","WR15-5193",612.8785,585.649777459906,612.8785
"233","WR15-5196",383.9331,739.76435770761,700
"234","WR15-5199",509.3469,527.582441742458,509.3469
"235","WR15-5213",601.0108,583.974716189433,601.0108
"236","WR15-5216",585.8485,581.920031144202,585.8485
"237","WR15-5220",484.4126,461.894528977337,484.4126
"238","WR15-5223",NA,NA,679.278
"239","WR15-5233",571.2565,560.307322884008,571.2565
"240","WR15-5242",628.3709,606.476400062803,628.3709
"241","WR15-5254",627.0548,642.282285508986,627.0548
"242","WR15-5261",334.4057,600.29278435871,600.29278435871
"243","WR15-5265",585.713,588.964804590486,585.713
"244","WR15-5268",653.113,501.864618856897,653.113
"245","WR15-5271",549.4703,552.872404650663,549.4703
"246","WR15-5271B",631.8125,676.524747618267,631.8125
"247","WR15-5273",593.9417,596.243383868045,596.243383868045
"248","WR15-5283",669.3802,705.035049548415,669.3802
"249","WR15-5288",725.9322,716.73526454263,725.9322
"250","WR15-5292",620.6585,632.74554,620.6585
"251","WR15-5296",705.5388,706.699447038901,705.5388
"252","WR15-5299",557.3737,553.016808939813,557.3737
"253","WR15-5302",641.4372,618.697479038759,641.4372
"254","WR15-5303",611.0562,619.224884010484,611.0562
