"","Sample_ID","Brood_year","fork_length","las_dist","ame_dist","x_dist","del_dist","rearing_type"
"196","WR15-5021",2012,900,NA,206.939,NA,NA,"AME"
"197","WR15-5023",2012,752,NA,NA,NA,NA,"SAC"
"198","WR15-5025",2012,754,NA,NA,NA,NA,"SAC"
"199","WR15-5027",2012,719,NA,NA,NA,NA,"SAC"
"200","WR15-5028",2012,745,NA,NA,NA,NA,"SAC"
"201","WR15-5029",2012,740,NA,NA,NA,NA,"SAC"
"202","WR15-5030",2012,731,NA,NA,NA,NA,"SAC"
"203","WR15-5038",2012,835,NA,NA,NA,NA,"SAC"
"204","WR15-5040",2012,763,NA,NA,NA,203.46,"DEL"
"205","WR15-5046",2012,812,NA,NA,NA,NA,"SAC"
"206","WR15-5048",2012,698,NA,NA,NA,NA,"SAC"
"207","WR15-5054",2012,901,NA,NA,NA,NA,"SAC"
"208","WR15-5060",2012,755,NA,NA,NA,NA,"SAC"
"209","WR15-5064",2012,730,NA,NA,NA,229.932,"DEL"
"210","WR15-5064B",2012,NA,NA,NA,NA,NA,"SAC"
"211","WR15-5065",2012,676,NA,NA,NA,NA,"SAC"
"212","WR15-5069",2012,857,NA,NA,NA,NA,"SAC"
"213","WR15-5071",2012,869,NA,169.744,NA,NA,"AME"
"214","WR15-5075",2012,872,NA,NA,NA,NA,"SAC"
"215","WR15-5079",2012,725,NA,NA,NA,NA,"SAC"
"216","WR15-5085",2012,720,NA,NA,NA,NA,"SAC"
"217","WR15-5089",2012,792,NA,NA,NA,NA,"SAC"
"218","WR15-5098",2012,700,NA,NA,NA,NA,"SAC"
"219","WR15-5105",2012,697,NA,NA,NA,NA,"SAC"
"220","WR15-5108",2012,761,NA,NA,NA,NA,"SAC"
"221","WR15-5111",2012,870,NA,NA,NA,167.473,"DEL"
"222","WR15-5115",2012,730,NA,NA,NA,NA,"SAC"
"223","WR15-5124",2012,725,NA,NA,NA,NA,"SAC"
"224","WR15-5127",2012,670,NA,NA,NA,NA,"SAC"
"225","WR15-5130",2012,925,NA,NA,NA,227.565,"DEL"
"226","WR15-5134",2012,775,NA,NA,NA,NA,"SAC"
"227","WR15-5137",2012,718,NA,176.752,NA,NA,"AME"
"228","WR15-5141",2011,870,NA,NA,NA,NA,"SAC"
"229","WR15-5142",2012,787,NA,NA,NA,NA,"SAC"
"230","WR15-5151",2012,820,NA,NA,NA,NA,"SAC"
"231","WR15-5154",2012,730,NA,NA,NA,190.37,"DEL"
"232","WR15-5157",2012,669,NA,NA,NA,NA,"SAC"
"233","WR15-5157B",2012,NA,NA,NA,NA,NA,"SAC"
"234","WR15-5163",2012,762,NA,NA,NA,NA,"SAC"
"235","WR15-5167",2012,718,NA,NA,NA,NA,"SAC"
"236","WR15-5171",2012,890,NA,NA,NA,NA,"SAC"
"237","WR15-5178",2012,750,NA,173.125,NA,123.758,"AME"
"238","WR15-5182",2012,710,NA,NA,NA,NA,"SAC"
"239","WR15-5193",2012,735,160.953,NA,NA,NA,"LAS"
"240","WR15-5196",2012,651,NA,347.603,NA,NA,"AME"
"241","WR15-5199",2012,728,NA,NA,NA,213.701,"DEL"
"242","WR15-5207",2012,731,NA,NA,NA,NA,"SAC"
"243","WR15-5211",2012,700,NA,NA,NA,NA,"SAC"
"244","WR15-5213",2012,925,NA,NA,NA,NA,"SAC"
"245","WR15-5216",2012,733,NA,NA,NA,NA,"SAC"
"246","WR15-5220",2012,699,NA,NA,NA,NA,"SAC"
"247","WR15-5223",2013,537,NA,NA,NA,NA,"SAC"
"248","WR15-5226",2012,710,NA,NA,NA,NA,"SAC"
"249","WR15-5233",2011,1055,NA,NA,NA,NA,"SAC"
"250","WR15-5242",2012,707,NA,NA,NA,NA,"SAC"
"251","WR15-5254",2012,731,NA,NA,NA,NA,"SAC"
"252","WR15-5261",2012,683,NA,305.336,NA,NA,"AME"
"253","WR15-5265",2012,690,NA,NA,NA,NA,"SAC"
"254","WR15-5268",2012,823,NA,NA,NA,NA,"SAC"
"255","WR15-5271",2012,827,NA,NA,NA,NA,"SAC"
"256","WR15-5271B",2012,NA,NA,NA,NA,203.219,"DEL"
"257","WR15-5273",2012,867,NA,260.96,NA,NA,"AME"
"258","WR15-5283",2012,712,NA,NA,NA,NA,"SAC"
"259","WR15-5288",2012,703,NA,NA,NA,NA,"SAC"
"260","WR15-5292",2012,696,NA,NA,NA,167.823,"DEL"
"261","WR15-5296",2012,710,193.413,NA,NA,NA,"LAS"
"262","WR15-5299",2012,740,NA,NA,NA,NA,"SAC"
"263","WR15-5302",2012,750,NA,NA,NA,NA,"SAC"
"264","WR15-5303",2012,781,NA,NA,NA,NA,"SAC"
"265","WR15-5309",2012,698,75.743,NA,NA,NA,"LAS"
"266","WR15-5312",2012,764,NA,NA,NA,NA,"SAC"
"267","WR15-5317",2012,749,NA,NA,NA,162.643,"DEL"
"268","WR15-5321",2012,696,NA,NA,NA,NA,"SAC"
"269","WR15-5325",2012,720,NA,NA,NA,NA,"SAC"
"270","WR15-5329",2012,728,NA,NA,NA,NA,"SAC"
"271","WR15-5338",2012,765,NA,NA,NA,NA,"SAC"
"272","WR15-5346",2012,740,NA,NA,NA,NA,"SAC"
"273","WR15-5350",2012,750,NA,NA,NA,NA,"SAC"
"274","WR15-5353",2012,806,NA,NA,NA,NA,"SAC"
"275","WR15-5356",2012,738,NA,NA,NA,NA,"SAC"
"276","WR15-5359",2012,708,NA,NA,NA,NA,"SAC"
"277","WR15-5362",2012,711,NA,NA,NA,NA,"SAC"
