"","Sample_ID","Habitat","Escap_yr","Brood_year","fork_length","mass_change_sum","tot_mass_change","prop_fw_growth","prop_sac"
"35","WR07-14","DEL",2007,2004,NA,1.16421581929311,14.6098764418655,0.07968690385067,0.30197311032118
"36","WR07-14","LAS",2007,2004,NA,8.8890023016071,14.6098764418655,0.608424194207084,0.30197311032118
"37","WR07-14","SAC",2007,2004,NA,4.41178983055827,14.6098764418655,0.30197311032118,0.30197311032118
"38","WR07-14","Unassigned",2007,2004,NA,0.144868490407061,14.6098764418655,0.00991579162106608,0.30197311032118
"39","WR07-15","AME",2007,2004,NA,6.92588786683756,11.763083888491,0.588781643699219,0.190347575928967
"40","WR07-15","SAC",2007,2004,NA,2.23907450362335,11.763083888491,0.190347575928967,0.190347575928967
"41","WR07-15","Unassigned",2007,2004,NA,2.59812151803013,11.763083888491,0.220870780371814,0.190347575928967
"42","WR07-16","LAS",2007,2004,NA,5.32427826787637,6.4200522825816,0.829320079265055,0.170679920734945
"43","WR07-16","SAC",2007,2004,NA,1.09577401470523,6.4200522825816,0.170679920734945,0.170679920734945
"44","WR07-17","DEL",2007,2004,NA,2.21331462370172,12.6675686332817,0.174722923378259,0.570165700789589
"45","WR07-17","LAS",2007,2004,NA,3.23164086248472,12.6675686332817,0.255111375832152,0.570165700789589
"46","WR07-17","SAC",2007,2004,NA,7.22261314709528,12.6675686332817,0.570165700789589,0.570165700789589
"47","WR07-18","SAC",2007,2004,NA,9.82944108737571,9.82944108737571,1,1
"48","WR07-19","DEL",2007,2004,NA,6.03859828900318,28.327873374514,0.213168076867923,0.57221957566721
"49","WR07-19","LAS",2007,2004,NA,6.07951140359197,28.327873374514,0.214612347464868,0.57221957566721
"50","WR07-19","SAC",2007,2004,NA,16.2097636819189,28.327873374514,0.57221957566721,0.57221957566721
"51","WR07-20","SAC",2007,2004,NA,10.6883506674439,10.6883506674439,1,1
"52","WR07-21","AME",2007,2004,NA,6.92071830430202,8.95985640882404,0.772413975014845,0.227586024985155
"53","WR07-21","SAC",2007,2004,NA,2.03913810452203,8.95985640882404,0.227586024985155,0.227586024985155
"54","WR07-23","LAS",2007,2004,NA,0.999094544240508,7.542222923791,0.132466854180217,0.867533145819783
"55","WR07-23","SAC",2007,2004,NA,6.54312837955049,7.542222923791,0.867533145819783,0.867533145819783
"56","WR07-24","SAC",2007,2004,NA,15.2549950123341,15.2549950123341,1,1
"57","WR07-25","DEL",2007,2004,NA,8.40682547128379,14.3957694832475,0.583978889149822,0.416021110850178
"58","WR07-25","SAC",2007,2004,NA,5.98894401196372,14.3957694832475,0.416021110850178,0.416021110850178
